Sample_ID,Site_ID,Date,Sample,Temp_in,Temp_out,CO2ppm,CH4ppm,N2Oppm,RerunCO2,RerunCH4,RerunN2O,Reruns,Flagged
14A12 ,14A,13/Jul/18,1A,21.4,22,1896.469,125.126,10.558,,,,,
14A13 ,14A,13/Jul/18,1B,21.4,22,1107.007,57.991,4.269,1045.936066,53.21134681,3.671162571,,
14A14 ,14A,13/Jul/18,2A,21.4,22.6,1240.154,54.674,3.589,1228.030019,54.14292518,3.40693335,,
14A15 ,14A,13/Jul/18,2B,21.4,22.6,1794.769,100.968,6.734,,,,,
32B11 ,32B,12/Jul/18,Atm,,,447.1632574,2.13716866,0.2906681816,,,,,
32B12 ,32B,12/Jul/18,1A,21.3,22.6,212.6079333,260.2828598,0.2850149471,,,,,
32B13 ,32B,12/Jul/18,1B,21.3,22.6,268.3759551,188.3532826,0.2866891972,,,,,
32B14 ,32B,12/Jul/18,2A,21.3,22.7,372.8806696,139.1970391,0.283903855,,,,,
32B15 ,32B,12/Jul/18,2B,21.3,22.7,366.8039328,160.3784767,0.2829583835,,,,,
32A11 ,32A,12/Jul/18,Atm,,,416.5013823,2.047293875,0.2963461056,,,,,
32A12 ,32A,12/Jul/18,1A,21.9,22.3,463.9862152,88.38248421,0.2857786689,,,,,
32A13 ,32A,12/Jul/18,1B,21.9,22.3,461.5511459,74.31350531,0.2837749798,,,,,
32A14 ,32A,12/Jul/18,2A,21.9,22.2,451.7532135,76.49044963,0.2822917607,,,,,
32A15 ,32A,12/Jul/18,2B,21.9,22.2,556.4967887,81.69086113,0.2836307728,,,,,
32C11 ,32C,12/Jul/18,Atm,,,459.9774263,2.015566615,0.2880961064,,,,,
32C12 ,32C,12/Jul/18,1A,21.3,21.1,168.6570032,219.5171754,0.2741084423,,,,,
32C13 ,32C,12/Jul/18,1B,21.3,21.1,190.8601453,217.4599395,0.2776593905,,,,,
32C14 ,32C,12/Jul/18,2A,21.3,21.1,291.5191332,104.5213696,0.2851277379,,,,,
32C15 ,32C,12/Jul/18,2B,21.3,21.1,285.4922067,123.8769587,0.2826835559,,,,,
23-16 ,23,12/Jul/18,Atm,,,520.4086578,1.958422359,0.2993501633,,,,,
23-17 ,23,12/Jul/18,1A,21.8,25.4,77.806574,294.7973914,0.2281781075,,,,,
23-18 ,23,12/Jul/18,1B,21.8,25.4,50.77031097,294.4964604,0.2295717836,,,,,
23-19 ,23,12/Jul/18,2A,21.8,25.2,63.14511136,63.50980715,0.2184798229,,,,,
23-20 ,23,12/Jul/18,2B,21.8,25.2,69.85919278,63.14767878,0.2209956053,,,,,
4D16 ,4D,11/Jul/18,Atm,,,409.1005979,1.843120183,0.2949992348,,,,,
4D17 ,4D,11/Jul/18,1A,21.6,22.3,109.0313091,627.5424571,0.2859093989,,,,,
4D18 ,4D,11/Jul/18,1B,21.6,22.3,108.5604987,634.8154868,0.2854468891,,,,,
4D19 ,4D,11/Jul/18,2A,21.6,22,102.4672769,695.6050408,0.2900144725,,,,,
4D20 ,4D,11/Jul/18,2B,21.6,22,95.08672946,693.2274761,0.2873675074,,,,,
4C11 ,4C,11/Jul/18,Atm,,,404.9420867,1.878895038,0.2907149779,,,,,
